id_plot,radius,X1,h_2.5,h_3.5,h_4.5,h_5.5,h_6.5,h_7.5,h_8.5,h_9.5,h_10.5,h_11.5,h_12.5,h_13.5,h_14.5,h_15.5,h_16.5,h_17.5,h_18.5,h_19.5,h_20.5,h_21.5,h_22.5,h_23.5,h_24.5,h_25.5,h_26.5,h_27.5,h_28.5,h_29.5,h_30.5,h_31.5,h_32.5,h_33.5,h_34.5,h_35.5,h_36.5,h_37.5,h_38.5,
41_12,25,0.0952043838774347,0.11312400187014,0.120136482013335,0.0997503665274214,0.0778663097421749,0.0661807557207787,0.0697257472031326,0.0687434988981644,0.080248863763334,0.111452334132519,0.115224082447094,0.12265133854061,0.113805783524912,0.101067088208295,0.0837967975082046,0.0804265794527849,0.119129902392783,0.142287270797633,0.197894664855711,0.270534018669672,0.370944944652087,0.445070427566441,0.337776181242217,0.155865851949728,0.0293474653516872,0.00180734569176946,0,0,0,0,0,0,0,0,0,0,0,0,
41_13,25,0.170672016022052,0.194845063968098,0.142487672290575,0.159130182200396,0.162595649793906,0.162649430275245,0.191096164982557,0.137387227288325,0.13331516339172,0.159590827164607,0.152738505879384,0.150665521822222,0.154186985223144,0.124602098461786,0.109180213053817,0.0813516079581385,0.0776353177844873,0.06079854323214,0.0656043227156787,0.069235332236655,0.0797271257495908,0.0886573231948076,0.130305136088342,0.229994584656985,0.353222392164627,0.364178334948148,0.201733278328994,0.0369777831410847,0.0011705498175089,0,0,0,0,0,0,0,0,0,
41_14,25,0.734561201894483,1.049978983364,1.31862175609376,0.860306116818275,0.279712854393479,0.0445649674267083,0.00421585494397214,4.21980989772858e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_15,25,0.158894678669132,0.149369391554141,0.127802124637008,0.135313373789409,0.125762377634478,0.11390013405457,0.116434160397546,0.114682908412143,0.149384553352027,0.128040212637909,0.131050747838415,0.138446676040459,0.11427939002529,0.104177866336367,0.0833765244128764,0.0745758264631235,0.0928687379384158,0.121675546522686,0.161762738899862,0.229071320307186,0.324400502801381,0.324657307958255,0.242236938946262,0.133641125726204,0.0663739022667466,0.0179877547531891,0.000586158666688296,0,0,0,0,0,0,0,0,0,0,0,
41_21,25,0.0487707755090669,0.0853493343299202,0.0818556627139246,0.104980188168771,0.115450075475133,0.145708212054837,0.154261825108891,0.147288191236185,0.122970372065674,0.0963196311796028,0.0663327861256591,0.0645498263621278,0.0621047053904412,0.072260758286048,0.105228626280661,0.159725509669516,0.265693848967931,0.378710295828273,0.455923687209713,0.361604878191479,0.206089480075811,0.0559946490992255,0.0066728238381474,0.000135619052591374,1.93733996765229e-05,3.22888170095903e-06,0,0,0,0,0,0,0,0,0,0,0,0,
41_22,25,0.159845858526903,0.141869012781138,0.203599133198397,0.183188714626185,0.16825244689173,0.164730640644127,0.137769676063026,0.143729719243605,0.111572888484725,0.0889056109790922,0.0715303549639377,0.0729060606596607,0.0643977126552839,0.0737957836444597,0.117760111392109,0.192859221845274,0.329102185083616,0.449886214662631,0.456273968540405,0.269281329274249,0.0794857723240673,0.00772523222545978,0.000369323101055188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_23,25,0.205707826447028,0.26877805827027,0.286684767032111,0.316571177409408,0.290068134599187,0.295874603466173,0.274933828712219,0.241421512489489,0.189828287158591,0.160358658055333,0.113825954937715,0.0888426713288618,0.117925724156482,0.175266010484751,0.268820474415747,0.379328760263079,0.382470637747813,0.277751166044573,0.119336025965914,0.0259530117969236,0.00278775965413503,6.20209527502559e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_24,25,0.15451387704215,0.118349517466822,0.112922069125804,0.11003107615827,0.095250877160381,0.0903517417717275,0.113197535205213,0.108475868537579,0.116358514073082,0.138734328587725,0.14398307073017,0.163473710529163,0.153919237971418,0.148006673934503,0.123067885142992,0.130341816607457,0.150113268010691,0.177745917316005,0.269654816750773,0.350563519196677,0.365136770729841,0.315468319491275,0.248842392024325,0.132911327042454,0.042892998104613,0.0120294678595063,0.000708290841560129,4.14131405961647e-06,0,0,0,0,0,0,0,0,0,0,
41_25,25,0.127983636449642,0.136874573439415,0.115951667881896,0.137842108531058,0.163286538660504,0.126475248256685,0.126013004735589,0.130457514026923,0.155563620893042,0.139264543180114,0.168925037796156,0.146136634788653,0.180449601082526,0.158778767363941,0.148375220941064,0.153652371695854,0.144790621345123,0.140418367136353,0.131465563423436,0.137497069210483,0.10714236410303,0.127113249364767,0.11921384452734,0.112816283919103,0.16596373584901,0.228142699869154,0.278594124043028,0.32708433145669,0.28391675447784,0.210866704333569,0.0903716789323972,0.0154921972471104,0.000319544968645382,0,0,0,0,0,
41_26,25,0.084995131822324,0.0760416828925671,0.0897610819143442,0.0806710015522396,0.09223992065559,0.0977862697487148,0.114898579312005,0.130840055893017,0.145188216217239,0.175030645793327,0.160692386310899,0.169442054734651,0.1560969279567,0.150990451551554,0.135964389570364,0.125157541510637,0.132693550398406,0.126324841695275,0.0808901993239991,0.0946875497409417,0.0999803037061205,0.109438009620128,0.11880898706702,0.12538203012369,0.186410699207772,0.219292840653838,0.252988683726048,0.283520987912581,0.265828896331447,0.200117791351775,0.115449850886954,0.0514002431922166,0.0166747799322197,0.000875934531756465,0,0,0,0,
41_27,25,0.818244076031271,0.184158509855517,0.00756256524596816,0.000136410139873303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_28,25,0.48570135113143,0.714849148925163,1.1894688192747,1.03872352735527,0.466287463228038,0.0796341290261422,0.00335138796618403,0.000477136525007223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_29,25,0.366187640277827,0.426436934788231,0.506000612283075,0.490590500363479,0.632867728089728,0.625941579008933,0.285581213313664,0.0452076312227724,0.00400716850461183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_31,25,0.195726417954141,0.192680362416265,0.170210271579012,0.144597593115895,0.143989771212064,0.1524755529345,0.181406875392354,0.42383913559286,0.717796257358841,0.527598677152526,0.174417786048833,0.0244912446658374,0.0034961381917374,2.28304855475826e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_32,25,0.310400772564209,0.359052694938475,0.433415783450165,0.638206074783105,0.932442805606595,0.653787001058076,0.234270622082691,0.0277902752191105,0.00045648669394813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_33,25,0.301986378613182,0.321507463588784,0.323947010028732,0.326194966809376,0.274560379271362,0.167297973476872,0.113898229400016,0.0947868144996993,0.113856759788696,0.140359593900391,0.257465293213965,0.472834585334547,0.459901808788057,0.198658605748072,0.0237777587592103,0.000922156342101434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_16,25,1.08929503323777,1.63910992441503,1.07981729054575,0.288050609826421,0.0249848681169016,0.000693088029115078,1.25993775907573e-05,0,1.2599298219081e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_17,25,0.0038441150154269,0.00613944127110907,0.00361616502940319,0.00621371059780753,0.0111279793798475,0.0114987336835016,0.0201739523043879,0.018155848045875,0.0219112595298659,0.0202111250636321,0.0453169740245293,0.0338110729006642,0.0338283613238562,0.0433487553083222,0.0435924432542199,0.028407322575746,0.0530226613316577,0.0452312376391748,0.0470215470154473,0.0419936945709284,0.0335307054483102,0.0469596021032291,0.0649275093337594,0.0839220551402264,0.0904230599669619,0.128736476773006,0.154950162355382,0.186299109836096,0.218056326427406,0.247324056525003,0.27135585836306,0.250645600417516,0.134830000279046,0.0424523490075969,0.00579539068591401,1.20562181453555e-05,0,0,
41_18,25,0.0106722067408927,0.000113530466404191,9.46058130542239e-06,9.46053655434103e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_19,25,0.363126968878454,0.0433769818239853,0.00816678371332856,0.00590379853487273,0.00935000596108994,0.011604213614787,0.0202345028152962,0.015865816358402,0.0232562589589187,0.012755881219296,0.0157927338313652,0.0114642575838421,0.00325581378171904,0.000696438794085804,0.000168333422700435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_20,25,0.00390434482218219,0.0119132739827051,0.0176837734546854,0.0173678050923892,0.0212973809733786,0.0185232995776621,0.0161498760574851,0.0145705692455761,0.0235474806880845,0.0176612278251537,0.00291576657058092,0.00501025085524112,0.00357288365422888,0.00776758673923726,0.00574644536277708,0.00607975448637397,0.00454148666758585,0.00694198916680967,0.00928047162977273,0.0106644563084391,0.0141761578613631,0.0139915161892134,0.011255783774771,0.0172021095467804,0.0196491640001816,0.0264317401943444,0.0422545230693621,0.0528518954465598,0.0529885451390031,0.0622475824415488,0.078223441310711,0.0848377814052298,0.0691116382942963,0.0449715092379981,0.0276992466609381,0.0163369704226707,0.00294388112987019,0,
41_30,25,0.0372206416177455,0.0138132808886723,0.000969007123985611,1.22629044077357e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_34,25,0.3097022405018,0.282410794440648,0.254820169189053,0.207142157857365,0.176210323033613,0.175812720548461,0.208198153855305,0.355032692525923,0.604002976109266,0.546773403915108,0.232042808207367,0.0577900753795614,0.00748837970057574,5.59521422713692e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_35,25,0.315015770057559,0.343933127434621,0.304183041582147,0.543761435382812,0.734694125403059,0.351308938307525,0.0460302235351679,0.00034025979279166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_36,25,0.180665439299666,0.169555593870784,0.200610114206633,0.149959288151109,0.17745365191891,0.18395806429907,0.172465454876743,0.128650815891238,0.149417477499889,0.128120380031881,0.144779833682985,0.139772652280791,0.123107885532731,0.100502003535087,0.112855260439189,0.0920124494632033,0.0940884654573719,0.0875675112212692,0.100926177827578,0.11015532477014,0.10998062345441,0.109375081404427,0.146143852604721,0.151992355886204,0.184089025938611,0.213428554987667,0.246493230595153,0.255311899064925,0.243245619883899,0.157446894402381,0.0587207249048704,0.00638709954746872,0.000547769622477778,0,0,0,0,0,
41_39,25,0.0514470177519847,0.0505645762539122,0.0412740663355559,0.0317854602157642,0.00420476425112643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_40,25,0.212846413172358,0.177790544296962,0.159848424488015,0.133726370103833,0.122333682035035,0.135317693316927,0.108914511984963,0.130409131124053,0.134165338323171,0.143896300897495,0.129937541090889,0.122871373483743,0.114841143581731,0.139641877894201,0.115362706226853,0.125683860073246,0.103013857576685,0.136935157528351,0.121316235319043,0.118702886301444,0.127180165146251,0.126383172170694,0.124524354471031,0.129851310541356,0.169296679130379,0.196375901089211,0.22630466904037,0.265128364813473,0.286412545121521,0.233048271333969,0.124110765619273,0.0322016023360487,0.00153929689178813,5.96396275496837e-06,0,0,0,0,
41_41,25,0.13453088187783,0.194898267431274,0.226706601989164,0.237304021714799,0.176593278483795,0.223526911791965,0.225969356213717,0.224659559336235,0.21078906315456,0.227023609410924,0.202774461609185,0.220738867320214,0.193948667103233,0.178867045849051,0.15563630199197,0.14654163395269,0.110201265855476,0.11181561690668,0.100905459352772,0.116644211488563,0.141068745435968,0.145174316243789,0.162611009683544,0.171536000135862,0.232071819592395,0.272807558839021,0.320539910621949,0.319832705719276,0.248283057438852,0.116813156054941,0.0280932956812995,0.00201314150927192,0,0,0,0,0,0,
41_42,25,0.246450698420268,0.188020835147776,0.159275534793386,0.176282850864205,0.171260859823297,0.175405763738343,0.181970672128297,0.194240702142628,0.190378243513687,0.180634270613079,0.14712841273545,0.135566991834992,0.131714349810927,0.104687633236954,0.139760220278283,0.123585256152384,0.0931582635350755,0.0775740190780728,0.0867765470356831,0.106093910832992,0.10177475914018,0.126228174113222,0.16103006837471,0.17157940936062,0.216073517197359,0.229313191493512,0.278588807717942,0.297935925742078,0.230687067081975,0.118769553437989,0.0411232521376331,0.00213675604593849,0,0,0,0,0,0,
