relh,height,Tair,wind,RH,VPD,P,lab,version
1.35356509685516,23.0106066465378,23.5526246284527,4.15557480285891,52.2251591680737,1.38431140351279,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
1.58927512168884,27.0176770687103,23.5376266562874,4.62302375226562,52.2237197011353,1.38310291917981,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
1.82498526573181,31.0247495174408,23.5239840481451,5.0389092658224,52.2229884261388,1.38198771636522,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
2.0606951713562,35.0318179130554,23.5114570826129,5.41111791353734,52.2226765804128,1.38095400541517,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.0284920819103718,0.826270375400782,23.6761613689486,1.54514405406157,54.6560836913709,1.32368278448488,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.0888952985405922,2.57796365767717,23.7507422441993,1.66257222380509,53.9452022726811,1.35048116174775,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.156546890735626,4.53985983133316,23.7771793052798,1.8204723592298,53.678622156251,1.36045958550796,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.232316687703133,6.73718394339085,23.7875392726211,1.99318733159962,53.4674296128171,1.36751399419382,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.317178845405579,9.19818651676178,23.7834655928482,2.17132069066655,53.2653062571614,1.37311765710479,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.412224471569061,11.9545096755028,23.7781067561583,2.36053408330174,53.0812429734076,1.37808147967815,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.518675565719605,15.0415914058685,23.7646742690457,2.56784105626612,52.9100336420603,1.38199332977232,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.637900829315186,18.4991240501404,23.7531282852257,2.79286931090749,52.7578701847853,1.38549654741763,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.771433055400848,22.3715586066246,23.7533232308477,3.062906114354,52.6311078225953,1.38923046788242,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.920989215373993,26.7086872458458,23.6842906347389,3.35860301497204,52.4614976661126,1.38842637552228,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
1.07089686393738,31.056009054184,23.5585366170915,3.62723213442362,52.1338735758557,1.38745047901565,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
1.21269059181213,35.1680271625519,23.5269901963531,4.00428933076194,52.0524947503685,1.38717060311518,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
1.3544842004776,39.2800418138504,23.5051293545082,4.34279197731305,51.9814549745387,1.38739715640092,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
