period,tod,relh,height,Tair,wind,RH,VPD,P,version
hot10,night,0.0284920819103718,0.48436539247632,18.3327606983674,1.60156353543966,75.1004230937121,0.52353222324388,P1,v3.2.3 iter
hot10,night,0.0888952985405922,1.51122007519007,18.3176873622797,1.72215246160825,75.1350089322208,0.522311391435989,P1,v3.2.3 iter
hot10,night,0.156546890735626,2.66129714250565,18.312400778746,2.05415738087434,75.147783356994,0.521870108031977,P1,v3.2.3 iter
hot10,night,0.232316687703133,3.94938369095325,18.3195653670874,2.39750152673477,75.1053160768844,0.522996670560664,P1,v3.2.3 iter
hot10,night,0.317178845405579,5.39204037189484,18.3262764955178,2.52260571871048,75.0674436450907,0.524012661453543,P1,v3.2.3 iter
hot10,night,0.412224471569061,7.00781601667404,18.3298380533855,2.53244192477984,75.045225760309,0.524596696643601,P1,v3.2.3 iter
hot10,night,0.518675565719605,8.81748461723328,18.3321163079678,2.54231649637222,75.0288668185655,0.52501554571071,P1,v3.2.3 iter
hot10,night,0.637900829315186,10.8443140983582,18.3332431108524,2.59989773615813,75.0175933948789,0.525289659585533,P1,v3.2.3 iter
hot10,night,0.771433055400848,13.1143619418144,18.3352991348658,2.70025969010133,75.001196870462,0.525702148257188,P1,v3.2.3 iter
hot10,night,0.920989215373993,15.6568166613579,18.3380574544271,2.75307645400365,74.9807666238111,0.526222728029046,P1,v3.2.3 iter
hot10,night,1.11785507202148,19.0035362243652,18.3435380984575,3.00096262571139,74.9239931392309,0.527597993984696,P1,v3.2.3 iter
hot10,night,1.35356509685516,23.0106066465378,18.345854695638,3.45394529593297,74.9020022801313,0.528137340181527,P1,v3.2.3 iter
hot10,night,1.58927512168884,27.0176770687103,18.347803908128,3.85959328596409,74.8822626649374,0.528617281619215,P1,v3.2.3 iter
hot10,night,1.82498526573181,31.0247495174408,18.3495324550531,4.22456960800367,74.8640267057992,0.529058367101534,P1,v3.2.3 iter
hot10,night,2.0606951713562,35.0318179130554,18.3511095878405,4.55467669169108,74.8469313648355,0.529470507707607,P1,v3.2.3 iter
hot10,global,0.0284920819103718,0.48436539247632,24.1329824594351,1.68229144443877,54.3411714697392,1.36996373964809,P1,v3.2.3 iter
hot10,global,0.0888952985405922,1.51122007519007,24.112626745762,1.80895872934698,54.3570871892787,1.36781513335236,P1,v3.2.3 iter
hot10,global,0.156546890735626,2.66129714250565,24.1054053282127,2.15769858581898,54.3632197868161,1.3670390326775,P1,v3.2.3 iter
hot10,global,0.232316687703133,3.94938369095325,24.1022271963266,2.51834922264784,54.3139744089952,1.36825327721613,P1,v3.2.3 iter
hot10,global,0.317178845405579,5.39204037189484,24.1006451729017,2.64975937455893,54.2715227827985,1.36939469237828,P1,v3.2.3 iter
hot10,global,0.412224471569061,7.00781601667404,24.0987449645996,2.66009139288694,54.2455364881675,1.37001669769803,P1,v3.2.3 iter
hot10,global,0.518675565719605,8.81748461723328,24.0964959560297,2.67046369669529,54.2255048850587,1.37043158409517,P1,v3.2.3 iter
hot10,global,0.637900829315186,10.8443140983582,24.093824787629,2.73094735265924,54.2104583895867,1.3706623873899,P1,v3.2.3 iter
