id_plot,slope_obs,equil_obs,dTmaxS_obs,dTmaxH_obs,slope_v320,equil_v320,dTmaxS_v320,dTmaxH_v320,slope_v323,equil_v323,dTmaxS_v323,dTmaxH_v323,LAI_ALS,Hmax,fCover,VCI,LCV,CHM_std,northness,twi,slope_t
41_31,0.893791858507548,12.7615603330157,-0.628261164430735,-0.553388296274061,0.962022578669575,21.3287376969377,0.187229757115262,0.42224871739077,0.933337189732583,21.7071432595524,0.102552903176819,0.239499206439645,3.2182492017746,13.7099990844727,1,0.464845053851605,0.0221789302304387,0.590953350067139,-1.83971667289734,6.29937839508057,2.20974111557007
41_32,0.944012738822811,-2.13446114964961,-0.638711984102866,-0.915234450120215,0.963229012851122,21.2377793201541,0.17089571291511,0.374396597649886,0.937786003876597,21.6698946647921,0.107881561357335,0.251845759396168,3.21039295196533,9.95000457763672,1,0.430056490004063,0.0160796465352178,0.440476804971695,-0.336399346590042,5.42569971084595,2.52045440673828
41_33,0.8142530939821,13.8023824612081,-1.57658903328319,-2.21615752704329,0.957460860386404,20.6921300942822,0.133317015788686,0.385941647803743,0.92316631010162,21.945512941666,0.147328218167353,0.386500077404229,3.59469872713089,17,1,0.523096472024918,0.0272830403409898,0.641132354736328,-0.0572448521852493,4.52340841293335,3.10578036308289
41_34,0.843357861082463,14.3308594251944,-1.16254655018684,-1.47992675781252,0.959433661293416,20.1208546218771,0.125209993719773,0.375808197146442,0.927000576792391,21.1290148665279,0.0566005451329896,0.198357187449906,3.70296066999435,14.7200012207031,1,0.500463917851448,0.0203382945619524,0.612852871417999,-3.96141219139099,2.67006826400757,3.96143865585327
41_35,0.950783917984872,3.31768732104235,-0.177834934922538,-0.202003680889446,0.975329772232872,24.2568970813624,0.355546409471007,0.610032235844655,0.956424147727481,21.6010076796104,0.110796086225858,0.199373065190492,2.60820317268372,9.5,1,0.400385342538357,0.0137157759163529,0.494161874055862,-0.565753281116486,6.847083568573,0.852236151695252
41_36,0.8099345601638,14.9295585039243,-1.48029395131598,-2.03946521935098,0.92068657518161,18.4062751976799,-0.265511975727842,-0.193579650452145,0.855867452075381,19.8938335928395,-0.313598570067514,-0.277368523263603,4.95061105489731,34.3300018310547,1,0.611756220459938,0.0403221864253283,1.06175339221954,0.307963490486145,5.03857851028442,0.371448695659637
41_37,0.886672054105563,12.1378123221458,-0.916744770988112,-1.27169598858175,0.935442925027131,18.6060213506483,-0.162634837926008,-0.0192771579961004,0.885230115815984,20.1591804023434,-0.134523723624359,0.0270899250154982,4.75718653202057,27.9299926757813,1,0.614285096526146,0.0347710689529777,1.02264320850372,2.17959952354431,4.88444995880127,7.3264045715332
41_38,0.77650222147243,13.2149914222206,-2.26364641033237,-3.11400368088945,0.920335142267954,17.9937854899134,-0.298572460718373,-0.283469867338038,0.854779859390687,19.692472861701,-0.409472989695039,-0.509328354931964,4.93214952945709,32.0500030517578,1,0.599203333258629,0.0333364619873464,1.84089815616608,2.69112682342529,5.33958673477173,7.65099906921387
41_39,1.30833749978252,18.0767926503572,4.52911588474959,5.31668862680286,1.08815213164517,6.52702655912717,2.07627906449824,2.45421063210229,0.986274195757501,27.3429693990872,0.255834527960096,0.290034880267115,0.000912871735636145,3.97000122070313,0.00499999988824129,0.0414105473610107,0.0284969462114816,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
41_40,0.746333592932573,14.1473579614585,-2.18397427918483,-2.79515752704329,0.923312992702436,18.3934217476265,-0.247766065635178,-0.192388363838811,0.852530680783816,20.2660826703649,-0.290419706438636,-0.27565260385712,4.71905541419983,34.4600067138672,1,0.599962934851646,0.0361886289902031,1.06244647502899,-0.458359509706497,4.51295804977417,0.628284394741058
41_42,0.685390021278392,15.1964239216281,-2.58622018082418,-3.59915752704329,0.9163681198978,17.7373276147013,-0.384477731448265,-0.341789290669173,0.83369447043336,18.8399241701557,-0.601085256309266,-0.687730426159598,5.57452714443207,33.6000061035156,1,0.608955875039101,0.0349789001047611,0.955091893672943,1.07414329051971,4.59084224700928,1.16228830814362
41_43,0.76618453648478,14.9883445923221,-1.81591690213565,-2.65792675781252,0.925777762655271,18.2510430261636,-0.246108936268156,-0.160854272411126,0.870307544244296,19.6856351834246,-0.301722835170946,-0.273211451623638,5.1080470085144,31.3199920654297,1,0.611067101359367,0.0332315089181066,1.32804214954376,-0.0142412558197975,3.21059846878052,6.89925193786621
41_44,0.802569096801896,14.9384203770796,-1.29385132836516,-1.57246521935098,0.928383099175889,19.2568912813801,-0.134750301642548,-0.0832715544772126,0.875169668082237,21.5528009799962,-0.0388951659357366,0.0296421662145489,3.90883481502533,33.9100036621094,0.997500002384186,0.568531230092049,0.0372432442381978,1.92624092102051,-0.229173570871353,4.18104982376099,0.875567018985748
41_45,0.83558644838908,14.9471132962776,-0.902990672627456,-1.35646521935098,0.941805805950911,19.2279450418231,-0.0582109915896453,0.105731157736902,0.8927286321077,21.2940324567002,0.0312395084108788,0.243079799260499,4.17399257421494,28.7199935913086,1,0.616935178637505,0.0360552025958896,3.39736890792847,-0.844914734363556,4.31642246246338,1.52915346622467
