id_plot,src,slope.all.JJAS,offset.all.JJAS,slope.day.JJAS,offset.day.JJAS,slope.night.JJAS,offset.night.JJAS,DTR.all.JJAS,equil.all.JJAS,slope.all.hot10,offset.all.hot10,slope.day.hot10,offset.day.hot10,slope.night.hot10,offset.night.hot10,DTR.all.hot10,equil.all.hot10
41_09,v320,0.908400788951685,-0.133963094047708,0.973909779494598,-0.299620206238794,0.870876295212948,0.032283500775899,9.08386055367892,17.6937012829803,0.896306883630725,-0.250611525315505,0.709253785562431,-0.281284821339143,0.746948769133593,-0.11718984750601,13.3913808969351,21.6638063984917
41_09,v323,0.800788780942118,-0.0709801632821845,0.915877624188765,-0.694577743446892,0.745549105244093,0.690253688864512,7.76145734943327,18.7998870185629,0.802254762242691,-0.486545758369641,0.534400129200702,-0.949962126903045,0.632818506477647,0.40489509778145,11.9901498647837,21.6201966381752
41_10,obs,0.688800714380485,-1.2533462932983,0.860548018136282,-2.84362124750525,0.821520656520803,0.634309923182397,6.83462295081967,15.1215662642633,0.611277591028805,-1.91954889307269,0.766799469265035,-3.7786155004257,0.824031167311691,1.22876811961636,10.5029230769231,19.1425674539083
41_10,v320,0.909878708185208,-0.133008152511294,0.976663479438887,-0.295795836735293,0.872317300262991,0.031535861916738,9.08490640608991,17.6803137340085,0.896328242328448,-0.226622850466997,0.708337996551619,-0.25921396108774,0.748612228687045,-0.0901696620843349,13.4058344914363,21.8946991165209
41_10,v323,0.831502335262346,-0.0761811470871337,0.934378273802309,-0.54714257078744,0.772151796360589,0.516232048975278,8.14151901495261,18.7040731735465,0.832635997180009,-0.403253212953225,0.557346462205702,-0.690588535406651,0.661615290121559,0.243062728490585,12.4511507474459,21.6712261299464
41_11,obs,0.712382551843855,-1.19029301460977,0.885587017921418,-2.67646414368012,0.849012832240934,0.637420578920102,7.16832786885246,15.0105788995477,0.620895761504179,-1.72501684179064,0.789544903041419,-3.51102575683596,0.839634119440621,1.44253735038559,10.809,19.5304201320805
41_11,v320,0.89873020458942,-0.190695595105706,0.965725659412997,-0.434057892345991,0.879577724790023,0.0253629919600813,8.94942186699539,17.2731479416848,0.877033984783673,-0.296881944705278,0.719264358496286,-0.472618689903846,0.746665258857781,-0.0656566130809295,13.1581726074219,21.6663228502376
41_11,v323,0.755571981362141,-0.313663349686138,0.873276647959521,-1.19209327072394,0.72415142817616,0.655904816927975,7.24000149085873,17.872938593195,0.751360394038803,-0.883821731958634,0.557618825251591,-1.73080522586138,0.622457603826258,0.356165568033854,11.2079420823317,20.5260345615497
41_12,obs,0.790240083782082,-0.83822675777917,0.920040979053626,-1.78830703985498,0.851986652093201,0.567882327553982,8.16949180327869,15.1529133084071,0.70055804340871,-1.298116200765,0.822206002760466,-2.46896165427186,0.733260417691345,1.35812709397534,11.4697692307692,19.7455463284796
41_12,v320,0.938035027505265,0.0143893535672081,0.989590034620451,0.0640493534663024,0.879033318002886,-0.0220333593824521,9.52020778294938,19.3884106135215,0.938531339993621,-0.046458979974372,0.675703844271273,0.220614907215903,0.767604614587564,-0.228366511088648,14.020705312853,23.3248485502986
