mo,version,scenario,n,sl_r2,month,label
2021-09,v3.2.0,CONST_ALS,53,0.90684399285539,09,LiDAR const
2021-10,v3.2.0,CONST_ALS,52,0.865769762497402,10,LiDAR const
2021-11,v3.2.0,CONST_ALS,52,0.876020445525167,11,LiDAR const
2021-04,v3.2.0,NAIVE_S2_FORMSH,30,0.650124810526476,04,S2 naive
2021-05,v3.2.0,NAIVE_S2_FORMSH,53,0.576474726426918,05,S2 naive
2021-06,v3.2.0,NAIVE_S2_FORMSH,53,0.606637846384106,06,S2 naive
2021-07,v3.2.0,NAIVE_S2_FORMSH,53,0.619662970493215,07,S2 naive
2021-08,v3.2.0,NAIVE_S2_FORMSH,53,0.582716066016069,08,S2 naive
2021-09,v3.2.0,NAIVE_S2_FORMSH,53,0.6518508895974,09,S2 naive
2021-10,v3.2.0,NAIVE_S2_FORMSH,52,0.608845048803254,10,S2 naive
2021-11,v3.2.0,NAIVE_S2_FORMSH,52,0.541767492400035,11,S2 naive
2021-04,v3.2.3 iter,STATIC_ALS,30,0.427839212595207,04,LiDAR full
2021-05,v3.2.3 iter,STATIC_ALS,53,0.623587772840165,05,LiDAR full
2021-06,v3.2.3 iter,STATIC_ALS,53,0.586792291443735,06,LiDAR full
2021-07,v3.2.3 iter,STATIC_ALS,53,0.631883759843495,07,LiDAR full
2021-08,v3.2.3 iter,STATIC_ALS,53,0.581174366142997,08,LiDAR full
2021-09,v3.2.3 iter,STATIC_ALS,53,0.664120330100698,09,LiDAR full
2021-10,v3.2.3 iter,STATIC_ALS,52,0.664082358113354,10,LiDAR full
2021-11,v3.2.3 iter,STATIC_ALS,52,0.503220512545112,11,LiDAR full
2021-04,v3.2.3 iter,STATIC_ALS_DOPT,30,0.488127677061529,04,LiDAR d_opt
2021-05,v3.2.3 iter,STATIC_ALS_DOPT,53,0.00599840826537755,05,LiDAR d_opt
2021-06,v3.2.3 iter,STATIC_ALS_DOPT,53,0.0832937516765045,06,LiDAR d_opt
2021-07,v3.2.3 iter,STATIC_ALS_DOPT,53,0.10684040645081,07,LiDAR d_opt
2021-08,v3.2.3 iter,STATIC_ALS_DOPT,53,0.141054936584329,08,LiDAR d_opt
2021-09,v3.2.3 iter,STATIC_ALS_DOPT,53,0.261286000368831,09,LiDAR d_opt
2021-10,v3.2.3 iter,STATIC_ALS_DOPT,52,0.140195184122572,10,LiDAR d_opt
2021-11,v3.2.3 iter,STATIC_ALS_DOPT,52,0.0880955601104384,11,LiDAR d_opt
2021-04,v3.2.3 iter,DYN_S2_ATBD_NM,30,0.156688387060113,04,S2 ATBD
2021-05,v3.2.3 iter,DYN_S2_ATBD_NM,53,0.749548441044283,05,S2 ATBD
